ID_DB   ID_NEW
313 1
317 2
324 3
339 4
346 5
347 6
350 7
362 8
365 9
368 10
380 11
382 12
388 13
390 14
391 15
394 16
396 17
398 18
404 19
406 20
410 21
411 22
418 23
431 24
432 25
436 26
438 27
442 28
445 29
453 30
466 31
467 32
469 33
470 34
479 35
492 36
494 37
499 38
504 39
506 40
511 41
520 42
526 43
528 44
533 45
539 46
540 47
542 48
547 49
552 50
558 51
585 52
591 53
600 54
603 55
613 56
625 57
629 58
634 59
637 60
638 61
639 62
648 63
671 64
674 65
699 66
708 67
716 68
719 69
721 70
728 71
731 72
